product_name,brand,star_rating,MRP(in rs),sale_price(in rs),Quantity,amount,transaction_Id,transaction date,User_ID,Cust_name,Gender,Age,recency,frequency,monetary
100 Base Layer Ski Pants Women's,Wedze,4.4,836.2629,836.2629,3,2508.7887,156752,2022-05-01,1002903,Sanskriti,F,28,638,1,2508.7887
Thermal Underwear Base Layer Top Women's,Wedze,4.5,836.2629,669.68,2,1339.36,156753,2022-05-02,1000732,Kartik,F,35,16,2,5106.3099999999995
100 Ski Jacket Men's,Wedze,4.6,3347.5629,2511.2999999999997,1,2511.2999999999997,156754,2022-05-03,1001990,Bindu,F,35,636,1,2511.2999999999997
Forclaz Trek 500 Merino Wool Hiking Hat Adult,Forclaz,4.6,2091.9129,2091.9129,1,2091.9129,156755,2022-05-04,1001425,Sudevi,M,16,635,1,2091.9129
Wedze FR100 Freeride Ski Jacket Women's,Wedze,4.5,9961.49,5859.7,3,17579.1,156756,2022-05-05,1000588,Joni,M,28,633,2,40178.2887
Forclaz Men's MT100 Hooded Down Puffer Jacket,Forclaz,4.5,7533.062899999999,7533.062899999999,3,22599.1887,156757,2022-05-06,1000588,Joni,M,28,633,2,40178.2887
Men's Breathable Crew Neck Essential Fitness T-Shirt - Mottled Grey,Domyos,4.6,836.2629,836.2629,3,2508.7887,156758,2022-05-07,1001132,Balk,F,25,632,1,2508.7887
Kalenji Sun Protect UV-Proof Long-Sleeved Running T-Shirt Women's,Kalenji,4.7,1338.5229,1338.5229,1,1338.5229,156759,2022-05-08,1002092,Shivangi,F,61,631,1,1338.5229
Arpenaz NH100 Hiking 10 L Backpack,Quechua,4.7,501.42289999999997,501.42289999999997,1,501.42289999999997,156760,2022-05-09,1003224,Kushal,M,35,326,2,1337.6858
Domyos 100 Men's Breathable Fitness Shorts,Domyos,4.6,1087.3928999999998,1087.3928999999998,3,3262.1786999999995,156761,2022-05-10,1003650,Ginny,F,26,172,2,3680.7286999999997
Kalenji Men's Running Lightweight Shorts Dry,Kalenji,4.4,1171.1028999999999,1171.1028999999999,3,3513.3086999999996,156762,2022-05-11,1003829,Harshita,M,34,628,1,3513.3086999999996
Trek 900 Waterproof Backpacking Hat,Forclaz,4.5,2929.0129,1674.1999999999998,1,1674.1999999999998,156763,2022-05-12,1000214,Kargatis,F,20,627,1,1674.1999999999998
Tarmak SS100 Beginner Basketball Shoes Kids',Tarmak,4.5,2091.9129,1254.8129,2,2509.6258,156764,2022-05-13,1004035,Elijah,F,20,626,1,2509.6258
Racerback Workout Tank Top Women's,Domyos,4.7,668.8429,668.8429,1,668.8429,156765,2022-05-14,1001680,Vasudev,M,26,36,2,1505.9429
Forclaz Trek 500 Ventilated Hiking Cap,Forclaz,4.5,1422.2328999999997,1422.2328999999997,2,2844.4657999999995,156766,2022-05-15,1003858,Cano,M,46,624,1,2844.4657999999995
Domyos 120 Fitness Training Shorts Men's,Domyos,4.6,1254.8129,1254.8129,3,3764.4386999999997,156767,2022-05-16,1000813,Lauren,F,24,623,1,3764.4386999999997
Btwin 100 Road Cycling Tights Men's,Btwin,4.1,1673.3628999999999,837.0999999999999,2,1674.1999999999998,156768,2022-05-17,1005447,Amy,F,48,622,1,1674.1999999999998
Men's Running Breathable Tight Shorts Dry - black,Kalenji,4.5,1254.8129,1254.8129,3,3764.4386999999997,156769,2022-05-18,1001193,Mick,F,29,621,1,3764.4386999999997
Women's Slim-Fit Salto Fitness Leggings 100 - Black,Domyos,4.6,836.2629,836.2629,2,1672.5258,156770,2022-05-19,1001883,Praneet,M,54,619,2,5020.0887
Men's travel backpacking Merino wool t-shirt - TRAVEL 100 - yellow,Forclaz,4.5,3347.5629,3347.5629,1,3347.5629,156771,2022-05-20,1001883,Praneet,M,54,619,2,5020.0887
Kiprun Ekiden Running Socks Adult 3-pack,Decathlon,4.5,668.8429,668.8429,2,1337.6858,156772,2022-05-21,1000113,Ellis,F,19,618,1,1337.6858
Run Dry+ Long-Sleeved Half-Zip Running T-Shirt Women's,Kalenji,4.7,1840.7828999999997,1840.7828999999997,1,1840.7828999999997,156773,2022-05-22,1000416,Hrisheekesh,F,46,617,1,1840.7828999999997
Wedze 500 Piste Ski Jacket Women's,Wedze,4.5,9961.49,5859.7,3,17579.1,156774,2022-05-23,1005256,Grant,F,30,616,1,17579.1
Men's Snowboard Jacket - SNB 100 Grey,Decathlon,4.7,7533.062899999999,5859.7,2,11719.4,156775,2022-05-24,1001505,Gilcrest,F,53,615,1,11719.4
Kalenji Run Wind Running Sleeveless Wind Jacket Men's,Kalenji,4.6,2091.9129,2091.9129,2,4183.8258,156776,2022-05-25,1000900,Skaria,M,83,614,1,4183.8258
Wedze 180 Ski Jacket Women's,Wedze,4.6,7525.5289999999995,5022.599999999999,1,5022.599999999999,156777,2022-05-26,1005908,Eric,F,33,613,1,5022.599999999999
Trek 100 Polyester Backpacking Liner Gloves,Forclaz,4.5,501.42289999999997,501.42289999999997,3,1504.2686999999999,156778,2022-05-27,1001101,Gibson,F,40,612,1,1504.2686999999999
Wedze 100 Downhill Ski Jacket Women's,Wedze,4.6,3347.5629,2092.75,1,2092.75,156779,2022-05-28,1004736,Mahima,F,25,146,2,5440.3129
Women's waterproof mountain walking jacket MH100,Quechua,4.7,5021.7629,5021.7629,1,5021.7629,156780,2022-05-29,1004037,Etezadi,M,54,610,1,5021.7629
Ski 580 I-Soft Thermal Underwear Base Layer Top Men's,Wedze,4.6,2929.0129,2511.2999999999997,2,5022.599999999999,156781,2022-05-30,1002340,James,F,39,328,2,12553.988699999998
Kalenji Run Warm Long Sleeve Running Jersey Women's,Kalenji,4.7,1673.3628999999999,1673.3628999999999,3,5020.088699999999,156782,2022-05-31,1005664,Dean,F,20,608,1,5020.088699999999
Forclaz Trek 500 Multiposition Merino Wool Hiking Tube Scarf,Forclaz,4.7,2091.9129,2091.9129,1,2091.9129,156783,2022-06-01,1002523,Aman,F,32,607,1,2091.9129
Men's Tennis Shorts Essential+ - Navy Blue,Artengo,4.6,1254.8129,1254.8129,3,3764.4386999999997,156784,2022-06-02,1002503,Mousam,F,36,606,1,3764.4386999999997
Men's Windproof and Water-repellent Hiking Jacket - Raincut 1/2 Zip,Quechua,4.4,1422.2328999999997,1422.2328999999997,2,2844.4657999999995,156785,2022-06-03,1002638,Damala,F,35,605,1,2844.4657999999995
